名称,排名,简介,点评数量,很棒,较好,一般,较差,很差,待处理1,待处理2
蜀九香火锅酒楼(玉林店),"在成都的 1,519 家餐厅中排名第 31",¥¥ - ¥¥¥中餐亚洲料理川菜,99 条点评,46,27,7,0,0,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">4.5<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_45""></span></span><a class=""IcelI"" href=""#REVIEWS"">99<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">31</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div><div class=""Pc""><div class=""GeBcn f""><img class=""REaHZ"" src=""https://static.tacdn.com/img2/restaurant-awards/michelin/Bib.svg""><div class=""VjUBU""><div class=""dfbUL S4 b H3"">米其林</div><a href=""https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/yu-jiu-xiang"" class=""ipYtI _S S1 q Cj"" target=""_blank"" rel=""nofollow""><span class=""DUPRL"">查看《米其林指南》了解详情</span></a></div></div></div></div><div class=""KVjOc Z""></div><div><div class=""uUbEd b"">评分</div><div><div class=""DzMcu""><span class=""ui_icon restaurants lANzp""></span><span class=""BPsyj"">食物</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div><div class=""DzMcu""><span class=""ui_icon bell lANzp""></span><span class=""BPsyj"">服务</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div><div class=""DzMcu""><span class=""ui_icon wallet-fill lANzp""></span><span class=""BPsyj"">实惠</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div><div class=""DzMcu""><span class=""ui_icon ambience lANzp""></span><span class=""BPsyj"">氛围</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div></div></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">中餐, 亚洲料理</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">晚餐, 午餐</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">可预订, 私人包厢, 座位, 提供酒精饮料, 餐桌服务, 有儿童椅</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d3409030.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d3409030-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
198咖啡厅（成都保利公园皇冠假日酒店）,"在成都的 1,519 家餐厅中排名第 32",¥¥¥¥中餐日式料理晚餐,47 条点评,44,2,1,0,0,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">5.0<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_50""></span></span><a class=""IcelI"" href=""#REVIEWS"">47<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">14</span></b> 的 <a href=""/Restaurants-g297463-c11-Chengdu_Sichuan.html"">成都中餐</a>（共 591 个）</div><div class=""cNFlb"">排名第 <b class=""""><span class="""">32</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div></div><div class=""KVjOc Z""></div><div class=""FAWhB f e F1""><div class=""hTQJQ"">四川省198咖啡厅（成都保利公园皇冠假日酒店）<!-- -->还没有足够的食物、服务、价格或氛围评分。 抢先写点评！</div><span><a class=""hikYc"" href=""/UserReviewEdit-g297463-d4566481-Cafe_198_Crowne_Plaza_Chengdu_Panda_Garden-Chengdu_Sichuan.html""><button class=""ui_button primary large"">写点评</button></a></span></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div class=""uhjbb _Z""><div class=""JhhMN"">简介</div><div class=""jmnaM"">舒适悠闲的全日制198 咖啡厅与酒店私家园林为邻，提供国际、亚洲及本地特色组合的豪华自助餐及精致的零点菜单，还有精致的零点菜单任意选择。餐厅设有四个VIP包间，大厅设有169餐位，可容纳200人同时就餐，并有高速无线网络信号覆盖。</div></div></div><div class=""ui_column  ""><div><div><div class=""tbUiL b"">价位</div><div class=""SrqKb"">US$198 - US$300</div></div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">中餐, 日式料理, 晚餐, 南美风味, 中美风味</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">早餐, 午餐, 宵夜</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">外送, 可供停车, 残障通道, 果酒和啤酒, 电子付款, 免费Wifi</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d4566481.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d4566481-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
Tivano意大利餐厅,"在成都的 1,519 家餐厅中排名第 33",¥¥¥¥意餐披萨欧洲,83 条点评,44,10,6,2,2,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">4.5<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_45""></span></span><a class=""IcelI"" href=""#REVIEWS"">83<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">5</span></b> 的 <a href=""/Restaurants-g297463-c26-Chengdu_Sichuan.html"">成都意餐</a>（共 31 个）</div><div class=""cNFlb"">排名第 <b class=""""><span class="""">33</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div><div class=""Pc""><div class=""GeBcn f""><div class=""VjUBU""><div class=""dfbUL S4 b H3"">米其林</div><a href=""https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/tivano"" class=""ipYtI _S S1 q Cj"" target=""_blank"" rel=""nofollow""><span class=""DUPRL"">查看《米其林指南》了解详情</span></a></div></div></div></div><div class=""KVjOc Z""></div><div><div class=""uUbEd b"">评分</div><div><div class=""DzMcu""><span class=""ui_icon restaurants lANzp""></span><span class=""BPsyj"">食物</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div><div class=""DzMcu""><span class=""ui_icon bell lANzp""></span><span class=""BPsyj"">服务</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div><div class=""DzMcu""><span class=""ui_icon wallet-fill lANzp""></span><span class=""BPsyj"">实惠</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div></div></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div><div><div class=""tbUiL b"">价位</div><div class=""SrqKb"">US$14 - US$70</div></div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">意餐, 红酒吧, 欧洲, 披萨</div></div><div><div class=""tbUiL b"">特殊饮食</div><div class=""SrqKb"">适合素食主义者</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">午餐, 晚餐, 饮料</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">可预订, 户外用餐, 座位, 可供停车, 免费街边停车, 有儿童椅, 残障通道, 提供酒精饮料, 标准酒吧, 接受使用美国运通, 接受使用 Mastercard, 接受使用 Visa, 免费Wifi, 餐桌服务, 接受信用卡</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d8467741.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d8467741-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
成都富力丽思卡尔顿酒店大堂吧,"在成都的 1,519 家餐厅中排名第 34",¥¥¥¥酒吧餐酒馆,62 条点评,58,2,1,0,0,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">5.0<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_50""></span></span><a class=""IcelI"" href=""#REVIEWS"">62<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">34</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div></div><div class=""KVjOc Z""></div><div><div class=""uUbEd b"">评分</div><div><div class=""DzMcu""><span class=""ui_icon bell lANzp""></span><span class=""BPsyj"">服务</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_50""></span></span></div></div></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">酒吧餐, 酒馆</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">早餐, 午餐, 晚餐</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d7007827.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d7007827-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
枣子树素餐馆,"在成都的 1,519 家餐厅中排名第 35",¥¥ - ¥¥¥中餐亚洲料理适合素食主义者,88 条点评,28,16,8,0,0,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">4.5<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_45""></span></span><a class=""IcelI"" href=""#REVIEWS"">88<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">35</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div></div><div class=""KVjOc Z""></div><div><div class=""uUbEd b"">评分</div><div><div class=""DzMcu""><span class=""ui_icon restaurants lANzp""></span><span class=""BPsyj"">食物</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div><div class=""DzMcu""><span class=""ui_icon bell lANzp""></span><span class=""BPsyj"">服务</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div><div class=""DzMcu""><span class=""ui_icon wallet-fill lANzp""></span><span class=""BPsyj"">实惠</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div><div class=""DzMcu""><span class=""ui_icon ambience lANzp""></span><span class=""BPsyj"">氛围</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div></div></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">中餐, 亚洲料理</div></div><div><div class=""tbUiL b"">特殊饮食</div><div class=""SrqKb"">适合素食主义者, 适合严格素食者, 提供无麸质美食</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">晚餐, 午餐</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">可预订, 座位, 残障通道, 外带, 餐桌服务</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d2226005.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d2226005-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
宴庭,"在成都的 1,519 家餐厅中排名第 36",¥¥¥¥中餐亚洲料理宫廷菜,53 条点评,42,7,2,0,0,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">4.5<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_45""></span></span><a class=""IcelI"" href=""#REVIEWS"">53<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">36</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div></div><div class=""KVjOc Z""></div><div><div class=""uUbEd b"">评分</div><div><div class=""DzMcu""><span class=""ui_icon restaurants lANzp""></span><span class=""BPsyj"">食物</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div><div class=""DzMcu""><span class=""ui_icon bell lANzp""></span><span class=""BPsyj"">服务</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div><div class=""DzMcu""><span class=""ui_icon wallet-fill lANzp""></span><span class=""BPsyj"">实惠</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div></div></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div><div><div class=""tbUiL b"">价位</div><div class=""SrqKb"">US$11 - US$420</div></div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">中餐, 亚洲料理</div></div><div><div class=""tbUiL b"">特殊饮食</div><div class=""SrqKb"">适合素食主义者</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">午餐, 晚餐, 早午餐</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">外带, 可预订, 座位, 残障通道, 餐桌服务</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d8555759.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d8555759-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
颐都府中餐厅,"在成都的 1,519 家餐厅中排名第 37",¥¥¥¥中餐,50 条点评,49,1,0,0,0,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">5.0<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_50""></span></span><a class=""IcelI"" href=""#REVIEWS"">50<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">37</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div></div><div class=""KVjOc Z""></div><div class=""FAWhB f e F1""><div class=""hTQJQ"">四川省颐都府中餐厅<!-- -->还没有足够的食物、服务、价格或氛围评分。 抢先写点评！</div><span><a class=""hikYc"" href=""/UserReviewEdit-g297463-d10043081-Yi_Du_Fu_Chinese_Restaurant-Chengdu_Sichuan.html""><button class=""ui_button primary large"">写点评</button></a></span></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div class=""uhjbb _Z""><div class=""JhhMN"">简介</div><div class=""jmnaM"">颐都府中餐厅位于成都新希望高新皇冠假日酒店内，精选原生态海鲜﹑河鲜等上乘食材，主理经典粤菜与地道川菜，是商务宴请﹑家庭聚会的雅致之所。餐厅设计风格典雅别致，多以喜鹊、梅花为意象，取义“喜上眉梢”，蕴含吉意。每个季度大厨都会特别设计特推菜式，以鲜烹鲜，带来饕餮盛宴。</div></div></div><div class=""ui_column  ""><div><div><div class=""tbUiL b"">价位</div><div class=""SrqKb"">US$13 - US$140</div></div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">中餐</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">午餐, 晚餐, 饮料</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">外带, 可预订, 私人包厢, 座位, 可供停车, 电视, 有儿童椅, 免费Wifi, 接受信用卡</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d10043081.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d10043081-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
秀餐厅成都瑞吉酒店,"在成都的 1,519 家餐厅中排名第 38",¥¥ - ¥¥¥中餐各国料理适合素食主义者,58 条点评,47,4,2,0,1,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">5.0<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_50""></span></span><a class=""IcelI"" href=""#REVIEWS"">58<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">38</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div></div><div class=""KVjOc Z""></div><div><div class=""uUbEd b"">评分</div><div><div class=""DzMcu""><span class=""ui_icon restaurants lANzp""></span><span class=""BPsyj"">食物</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div><div class=""DzMcu""><span class=""ui_icon bell lANzp""></span><span class=""BPsyj"">服务</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div><div class=""DzMcu""><span class=""ui_icon wallet-fill lANzp""></span><span class=""BPsyj"">实惠</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_45""></span></span></div></div></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div><div><div class=""tbUiL b"">价位</div><div class=""SrqKb"">US$11 - US$42</div></div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">中餐, 各国料理</div></div><div><div class=""tbUiL b"">特殊饮食</div><div class=""SrqKb"">适合素食主义者, 提供无麸质美食</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">早午餐</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">可预订, 残障通道</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d8555754.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d8555754-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
1982酒廊,"在成都的 1,519 家餐厅中排名第 39",¥¥¥¥咖啡馆,41 条点评,41,0,0,0,0,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">5.0<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_50""></span></span><a class=""IcelI"" href=""#REVIEWS"">41<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">4</span></b> 的 <a href=""/Restaurants-g297463-c8-Chengdu_Sichuan.html"">成都咖啡馆</a>（共 118 个）</div><div class=""cNFlb"">排名第 <b class=""""><span class="""">39</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div></div><div class=""KVjOc Z""></div><div class=""FAWhB f e F1""><div class=""hTQJQ"">四川省1982酒廊<!-- -->还没有足够的食物、服务、价格或氛围评分。 抢先写点评！</div><span><a class=""hikYc"" href=""/UserReviewEdit-g297463-d15293179-1982_Lobby_Lounge-Chengdu_Sichuan.html""><button class=""ui_button primary large"">写点评</button></a></span></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div class=""uhjbb _Z""><div class=""JhhMN"">简介</div><div class=""jmnaM"">1982酒廊，位于成都新希望高新皇冠假日酒店二楼大堂，这里宽敞通透，是您约见会谈，品美味下午茶，伴图书小坐轻读，和亲朋好友畅饮晚间开胃酒您的绝佳之选，傍晚时分更有外籍乐队现场驻唱，天籁之音锦上添花，尽享惬意。</div></div></div><div class=""ui_column  ""><div><div><div class=""tbUiL b"">价位</div><div class=""SrqKb"">US$4 - US$140</div></div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">咖啡馆</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">饮料</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">外带, 可预订, 座位, 可供停车, 残障通道, 提供酒精饮料, 果酒和啤酒, 电子付款, 免费Wifi, 接受信用卡</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d15293179.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d15293179-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
陈麻婆川菜馆(青华路店),"在成都的 1,519 家餐厅中排名第 40",¥¥ - ¥¥¥中餐亚洲料理川菜,156 条点评,11,16,8,3,0,"<div><h2>评分和点评</h2><div class=""QEQvp""><span class=""ZDEqb"">4.0<!-- -->&nbsp;</span><span class=""MFMAn""><span class=""ui_bubble_rating bubble_40""></span></span><a class=""IcelI"" href=""#REVIEWS"">156<!-- --> 条点评</a></div><div class=""cNFlb"">排名第 <b class=""""><span class="""">40</span></b> 的 <a href=""/Restaurants-g297463-Chengdu_Sichuan.html"">成都餐厅</a>（共 1,519 个）</div></div><div class=""KVjOc Z""></div><div><div class=""uUbEd b"">评分</div><div><div class=""DzMcu""><span class=""ui_icon restaurants lANzp""></span><span class=""BPsyj"">食物</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div><div class=""DzMcu""><span class=""ui_icon bell lANzp""></span><span class=""BPsyj"">服务</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_35""></span></span></div><div class=""DzMcu""><span class=""ui_icon wallet-fill lANzp""></span><span class=""BPsyj"">实惠</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div><div class=""DzMcu""><span class=""ui_icon ambience lANzp""></span><span class=""BPsyj"">氛围</span><span class=""vzATR""><span class=""ui_bubble_rating bubble_40""></span></span></div></div></div>","<div><div class=""kqcdz""><div class=""kwVln""><div class=""ui_columns ""><div class=""ui_column  ""><div><div><div class=""tbUiL b"">美食</div><div class=""SrqKb"">中餐, 亚洲料理</div></div><div><div class=""tbUiL b"">餐时</div><div class=""SrqKb"">午餐, 晚餐, 早午餐</div></div><div><div class=""tbUiL b"">功能</div><div class=""SrqKb"">提供酒精饮料, 外带, 可预订, 座位, 餐桌服务</div></div></div></div></div></div><div class=""hSksZ""><div class=""nEgQL""><span class=""LoWag ui_link""><a href=""/ImproveListing-d1156521.html"" class=""BMQDV _F Gv wSSLS SwZTJ"">优化此页</a></span><span class=""LoWag""> | </span><div class=""LoWag""><a rel=""noopener noreferrer"" href=""/Owners-d1156521-aClaimForm"" target=""_blank"" class=""LoWag ui_link"">管理此企业？</a></div></div></div></div></div>"
